danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri
0.835,0.589,11,-7.396,1,0.0623,0.00683,0.00301,0.108,0.749,123.028,audio_features,spotify:track:4wUcwTAtVwelURvNQLWTmT
0.7,0.816,7,-9.711,0,0.044,0.00115,0.00123,0.0901,0.838,113.244,audio_features,spotify:track:5WwRKYnVy9dekqXAGPbAvU
0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,audio_features,spotify:track:3qI94hINNNeb4S7xQi18lS
0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864,audio_features,spotify:track:4yKZACkuudvfd600H2dQie
0.849,0.606,0,-6.44,1,0.0614,0.21,9.14e-05,0.0428,0.709,124.963,audio_features,spotify:track:1A4s8XUUIvT2L9BtDWY43R
0.738,0.764,7,-11.386,1,0.054,0.0401,1.9e-06,0.0574,0.891,118.415,audio_features,spotify:track:1uAijxIKOQVllUhlbEVku4
0.629,0.651,0,-9.882,1,0.0337,0.0297,0.0149,0.15,0.858,131.496,audio_features,spotify:track:0oytIamFvVetbnQda5hhrx
0.704,0.895,10,-7.81,1,0.0647,0.00428,0.28,0.267,0.869,118.662,audio_features,spotify:track:7y5fzeYh5bLrlJRB1OZrln
0.754,0.668,11,-9.008,0,0.036,0.00446,0.126,0.65,0.573,120.006,audio_features,spotify:track:3nurL7U3qpB67uchHosAOO
0.766,0.728,9,-7.061,1,0.0487,0.00749,0.601,0.0637,0.961,120.011,audio_features,spotify:track:7Jo73QzPI23qDQ1P5rKgDO
0.768,0.848,0,-6.231,1,0.0514,0.0277,0.378,0.416,0.835,123.023,audio_features,spotify:track:5axHTs0PrOE7oZj9Ws6Wfd
0.81,0.821,7,-7.047,1,0.0623,0.0984,0.919,0.0532,0.372,127.995,audio_features,spotify:track:2awW0GGF18mlt06bhD6eeV
0.805,0.897,7,-9.375,1,0.0599,0.00179,0.905,0.0736,0.611,122.999,audio_features,spotify:track:0ThuoRkQEY42dneJv3XibG
0.804,0.899,10,-5.433,0,0.0436,0.00723,0.875,0.215,0.336,127.981,audio_features,spotify:track:6nW3LEgsZNf9fbFl7D1qBa
0.755,0.836,7,-8.065,1,0.0606,0.0128,0.019,0.3,0.679,126.609,audio_features,spotify:track:285d8Zaso5TiA4jTxPiiKu
0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,audio_features,spotify:track:2tnVG71enUj33Ic2nFN6kZ
0.722,0.821,4,-8.842,0,0.0836,0.16,0.000202,0.332,0.684,118.005,audio_features,spotify:track:0DNvJnhZn3o23K46vLTmk1
0.807,0.795,9,-9.472,0,0.0528,0.000556,0.114,0.0818,0.769,115.049,audio_features,spotify:track:6Bpxv5xnrvR4O0NNyKnFNL
0.794,0.779,0,-7.459,1,0.0576,0.0192,0.471,0.0692,0.924,124.98,audio_features,spotify:track:7JVjwzUGHZ3yPQZx7qCs66
0.747,0.732,9,-9.295,0,0.0378,0.475,0.0295,0.11,0.885,108.762,audio_features,spotify:track:5NsbrTJ0GPFQagMrYMERB5
0.921,0.607,11,-6.047,0,0.216,0.0287,0.0297,0.0837,0.799,116.335,audio_features,spotify:track:7AzZ2sNganpJKdsumfvu81
0.919,0.693,1,-3.32,0,0.274,0.0742,0.0,0.215,0.76,100.169,audio_features,spotify:track:0dQVXSWHgGCAjz3XYzq5sv
0.894,0.524,1,-4.521,1,0.39,0.0418,0.0,0.32,0.644,102.164,audio_features,spotify:track:2Sl5zu0c9QVmfltTJ4k4wx
0.663,0.709,0,-8.632,1,0.042,0.00551,0.872,0.0525,0.771,128.504,audio_features,spotify:track:1BStvkPecxt0aRa4re7ARw
0.653,0.773,7,-8.682,0,0.0445,0.0684,0.842,0.112,0.974,131.471,audio_features,spotify:track:6H2C0FkqsvMelQoQjXJGx7
0.686,0.733,2,-6.947,1,0.43,0.164,0.0,0.175,0.525,123.271,audio_features,spotify:track:6UggfFdQTpD0o8ImQkYFDq
0.781,0.564,11,-8.794,1,0.0571,0.0162,0.572,0.208,0.505,124.012,audio_features,spotify:track:6NQ6Erm3O6gevkjgovj0ZV
0.89,0.628,9,-8.516,0,0.0921,0.00811,0.135,0.0366,0.374,122.998,audio_features,spotify:track:292BL25hAadXWk0D1pd83I
0.725,0.822,7,-6.162,1,0.195,0.0322,0.214,0.133,0.427,125.011,audio_features,spotify:track:7yRucK46dHsRRwNyuGM80j
0.764,0.99,2,-4.518,1,0.0538,0.000604,0.112,0.274,0.316,130.012,audio_features,spotify:track:0CoLfXyhNImk5c8oYSjFvl
0.803,0.614,7,-8.114,1,0.0643,0.00122,0.854,0.0698,0.777,122.006,audio_features,spotify:track:7ChJig0mbnvOeoqShcsOp0
0.776,0.846,10,-8.006,0,0.0558,6.9e-05,0.911,0.0627,0.346,122.006,audio_features,spotify:track:0EFONrcgPNCnkQSJ7Y3PnI
0.751,0.491,11,-13.677,1,0.045,0.00945,0.149,0.0708,0.926,105.408,audio_features,spotify:track:2QoiyjegLQ3DWKBfFX9ihX
0.906,0.474,1,-6.124,1,0.194,0.0311,5.52e-06,0.286,0.656,106.976,audio_features,spotify:track:6DXZiYUbrYgrVIhfX3U9Z2
0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT
0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,audio_features,spotify:track:4rPkN1FMzQyFNP9cLUGIIB
0.627,0.69,10,-5.396,0,0.139,0.033,0.0,0.0742,0.627,122.053,audio_features,spotify:track:1nYeVF5vIBxMxfPoL0SIWg
0.856,0.916,11,-7.876,0,0.0983,0.00446,0.0678,0.105,0.537,128.044,audio_features,spotify:track:2zmqGAE39ZwT8Wz91EjfGY
0.799,0.758,4,-8.168,0,0.0841,0.00127,0.744,0.266,0.359,119.995,audio_features,spotify:track:41H4fRseRoo5jOPFfEC5lv
0.802,0.647,4,-8.474,1,0.0455,0.000151,0.688,0.0914,0.649,129.001,audio_features,spotify:track:2ZsHhE4nMSKyDsdRh4rxl0
0.614,0.796,6,-7.702,1,0.0439,0.000216,0.767,0.0915,0.368,122.981,audio_features,spotify:track:4Gd5Cxw7V4JCM9Uj6VpiwL
0.551,0.931,0,-4.586,0,0.0342,1.11e-05,0.911,0.0299,0.81,123.995,audio_features,spotify:track:3G69N93wUnXpTOuoo2pJT1
0.797,0.935,1,-5.891,1,0.0395,0.000278,0.91,0.118,0.416,123.981,audio_features,spotify:track:3xyy8kSd1oxKDbvk7RQrIp
0.808,0.749,2,-6.482,1,0.0431,0.000126,0.0948,0.0459,0.923,125.002,audio_features,spotify:track:2owws8NRqfPUdIn3Uag7Yp
0.827,0.54,1,-8.543,1,0.0925,0.0254,0.164,0.145,0.49,120.055,audio_features,spotify:track:56dDonzTxrZKWuVDqUOYGd
0.767,0.768,4,-10.508,0,0.0552,0.0348,0.254,0.541,0.968,124.003,audio_features,spotify:track:6NMlHvmdyWegdtZ45wYPpe
0.812,0.979,11,-4.972,0,0.0994,0.142,0.891,0.0659,0.72,128.021,audio_features,spotify:track:0i7Wo7SR4tbchoENrlmLKf
0.647,0.535,10,-8.287,1,0.0456,0.00713,0.902,0.0702,0.396,125.999,audio_features,spotify:track:1EkVlvyq662nuN5mNG7P7K
0.735,0.525,5,-9.567,0,0.0572,0.0271,0.673,0.0779,0.549,123.001,audio_features,spotify:track:0HpHGti6doPOUBz66MAduf
0.627,0.948,7,-4.478,1,0.0428,0.00354,0.551,0.0599,0.569,125.048,audio_features,spotify:track:2fMtXRKJDPtT8Xs4EJkBQh
0.724,0.857,0,-5.361,1,0.0327,0.000135,0.789,0.0706,0.362,128.002,audio_features,spotify:track:0VsPwEFUMG3wYjAKtbddxq
0.791,0.931,10,-7.776,0,0.0427,0.0408,0.912,0.0987,0.375,128.004,audio_features,spotify:track:0NQjhe0ZH1U6LovYzTsRJ4
0.641,0.904,6,-8.616,1,0.0464,8.67e-05,0.902,0.0577,0.777,125.988,audio_features,spotify:track:6Bc9CeLnFLmBhqTiNelyjm
0.8,0.968,6,-6.821,1,0.0555,0.000104,0.894,0.0832,0.867,128.024,audio_features,spotify:track:6cnA5RLORugKvIWuOhinth
0.724,0.896,0,-6.485,0,0.0388,0.0128,0.00737,0.0663,0.84,122.023,audio_features,spotify:track:2CiOFdudXTfZfsd1lZqrhR
0.781,0.556,5,-13.067,0,0.0611,0.0661,0.0907,0.0339,0.968,125.999,audio_features,spotify:track:7GK2KVYH8FrTC9zehmjVMd
0.766,0.752,11,-6.185,0,0.0506,0.0457,2.87e-06,0.351,0.807,123.979,audio_features,spotify:track:1lkzEemm8wtJCL4mvCxLga
0.859,0.413,0,-13.888,0,0.0617,0.0099,0.735,0.0464,0.954,120.499,audio_features,spotify:track:4xeQXFdKrNPQcGyze66bIx
0.58,0.782,6,-5.951,0,0.0323,0.0613,3.37e-06,0.672,0.274,115.002,audio_features,spotify:track:0LpnNgvF6z5HJYAgLClfMB
0.784,0.402,2,-14.525,1,0.0839,0.0156,0.651,0.0953,0.701,127.01,audio_features,spotify:track:5nUfbXGXSULNLxJyndR5iB
0.792,0.857,7,-11.683,0,0.0559,0.0234,0.87,0.0371,0.866,129.996,audio_features,spotify:track:3sox3tsJ42Uq6Rjg4yZquH
0.79,0.968,11,-4.765,0,0.0567,0.00132,0.495,0.0628,0.84,123.986,audio_features,spotify:track:4IFvkaY2EucOH8FXXVaZvb
0.808,0.764,4,-9.497,1,0.0609,0.000289,0.931,0.0879,0.526,124.993,audio_features,spotify:track:3KCkT2jynJKSztCMBVk12w
0.798,0.956,1,-9.99,0,0.0505,0.0108,0.839,0.142,0.321,124.003,audio_features,spotify:track:6OpJGsiOSj4T1xU92bKXY8
0.806,0.892,10,-7.558,0,0.0541,0.0233,0.938,0.0711,0.453,129.008,audio_features,spotify:track:1IDXpxtldEJNMxHHR0Btld
0.882,0.887,1,-4.91,1,0.116,0.0112,0.635,0.0345,0.657,124.81,audio_features,spotify:track:5HFPfp2p6V4pycGKaIMlIH
0.755,0.664,1,-10.02,1,0.0392,2.14e-05,0.895,0.109,0.253,127.981,audio_features,spotify:track:0jDtGQ7hIiH46a5fZ6CD01
0.717,0.628,8,-17.392,1,0.0377,0.0587,0.0711,0.0998,0.885,130.822,audio_features,spotify:track:72TcMsVMm8ej4gpYGEYk72
0.934,0.508,11,-7.68,0,0.164,0.0148,0.681,0.113,0.735,117.001,audio_features,spotify:track:2DE4u2kVytbBjrTIfdfPUz
0.775,0.866,9,-3.598,1,0.0295,0.135,0.0376,0.152,0.875,131.338,audio_features,spotify:track:15ob9SMGLWrexuPuyuMjKl
0.592,0.891,9,-3.489,0,0.0508,0.0227,0.0,0.144,0.744,122.987,audio_features,spotify:track:56Y3RbWAzciF44Rua5Q2K9
0.805,0.764,8,-9.804,0,0.0516,7.72e-05,0.328,0.0603,0.617,123.985,audio_features,spotify:track:1RUPwddr2YjOWsK2kQtrEA
0.54,0.812,5,-8.336,1,0.0373,0.00436,0.954,0.11,0.0578,120.006,audio_features,spotify:track:49pnpUiVikrlH8Wiq6ik8k
0.528,0.562,0,-12.411,1,0.0317,0.0479,0.874,0.114,0.098,119.969,audio_features,spotify:track:5HCYfovH50URGDvpfH571V
0.822,0.7,6,-8.89,0,0.0574,0.0966,0.47,0.089,0.617,124.003,audio_features,spotify:track:2CYDr6tzDTkxtN6qXTJCzC
0.758,0.925,9,-7.148,1,0.0498,0.0325,0.761,0.114,0.31,125.98,audio_features,spotify:track:7pcAHct89LesTnfo8e6blK
0.779,0.741,0,-5.503,1,0.0961,0.0261,0.0,0.25,0.929,119.971,audio_features,spotify:track:47OnQIAx7QHkm1SbfXcjfP
0.757,0.805,7,-11.558,1,0.0333,0.0999,0.911,0.112,0.772,119.494,audio_features,spotify:track:3t8hniC26RU5WgDO0a5gIF
0.7,0.738,1,-4.398,1,0.0324,0.0381,0.00527,0.22,0.796,144.035,audio_features,spotify:track:5uTjNzGKCQ50synrf9dWmT
0.787,0.701,8,-3.842,1,0.0391,0.00798,0.00462,0.0445,0.616,126.968,audio_features,spotify:track:1Sf6e93VZW3ldIogonAiVi
0.834,0.633,4,-11.442,0,0.0422,0.0631,5e-05,0.313,0.904,123.815,audio_features,spotify:track:3hVrI7snZMTmHCnbwME47u
0.676,0.85,1,-12.228,1,0.0441,0.001,0.66,0.279,0.0892,119.997,audio_features,spotify:track:52L7fjH7wVsmOmeGHI6rJx
0.84,0.582,1,-6.312,1,0.0563,0.00868,0.73,0.066,0.836,124.02,audio_features,spotify:track:6aJx9QL88iQehUBppdxIhz
0.686,0.882,6,-8.747,0,0.0505,0.0495,0.048,0.387,0.941,128.206,audio_features,spotify:track:0lBBeLWPnd4gJujY8jSOOJ
0.885,0.518,9,-9.249,0,0.0887,0.468,0.00165,0.0999,0.524,108.993,audio_features,spotify:track:2afK7FH9DWHYMqltxqf7IT
0.808,0.521,8,-9.381,1,0.168,0.123,0.906,0.336,0.765,120.021,audio_features,spotify:track:5N720bYInxSsiUDvBOLM3C
0.766,0.544,8,-10.651,0,0.067,0.146,0.336,0.0929,0.64,120.014,audio_features,spotify:track:0gwoz2c2l6d75YDVNGo6kv
0.709,0.868,5,-8.882,1,0.0475,0.0154,0.863,0.1,0.456,126.986,audio_features,spotify:track:6yZC5KpHGx9P7desCuxeI7
0.658,0.525,2,-10.368,0,0.0632,0.516,0.0,0.0936,0.836,174.16,audio_features,spotify:track:3zLQtoEeXA6Lr1sNrbyYbs
0.74,0.854,2,-5.341,1,0.056,0.0291,0.000174,0.106,0.935,111.969,audio_features,spotify:track:39zrVbRvAjw1FbKaK64NTZ
0.711,0.927,2,-8.194,1,0.0374,0.00046,0.832,0.0506,0.46,132.029,audio_features,spotify:track:7AkuWVEfviEjaNa8ps3uVw
0.865,0.762,0,-7.444,1,0.0762,0.0166,0.795,0.0233,0.896,118.005,audio_features,spotify:track:3ceihRUljV1eSM1plIjsB6
0.668,0.878,5,-7.538,1,0.0472,0.015,0.554,0.146,0.655,122.006,audio_features,spotify:track:1tTwnpx4TvhnTAzBjFditv
0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,audio_features,spotify:track:1RSy7B2vfPi84N80QJ6frX
0.742,0.965,1,-8.291,0,0.0538,0.00011,0.607,0.0703,0.387,123.04,audio_features,spotify:track:5rvxnkF2JQPk2U5uAibTF9
0.708,0.81,0,-7.682,1,0.0332,0.000125,0.646,0.124,0.436,123.032,audio_features,spotify:track:0dnyEpWFsxHBgSJiCMRqUg
0.772,0.735,5,-7.705,0,0.0402,0.118,0.000396,0.0494,0.845,119.229,audio_features,spotify:track:2UxQ5ZcEfXjMwIqZPdtUXY
0.771,0.867,3,-3.67,1,0.0506,0.00418,0.811,0.131,0.874,123.017,audio_features,spotify:track:24nRAwz24SxmVKPdptmcaI
0.702,0.737,0,-4.978,1,0.0911,0.0178,0.00246,0.133,0.474,129.028,audio_features,spotify:track:0Oivk8DdbsK8ul74lFwmVt
0.812,0.695,1,-9.022,1,0.0581,0.0024,0.9,0.0823,0.648,122.0,audio_features,spotify:track:5x0PjvPbVqowzeXpsjCkO3
0.797,0.79,2,-10.45,1,0.0513,0.000707,0.922,0.11,0.425,125.952,audio_features,spotify:track:1fW2fuBTVBfeYraVHLQbtl
0.84,0.566,11,-7.164,0,0.0448,0.00506,0.44,0.101,0.723,117.991,audio_features,spotify:track:4Noq0kesyOwbyLLQcg3qYW
0.931,0.545,4,-5.211,1,0.114,0.0031,0.081,0.0934,0.963,123.865,audio_features,spotify:track:37f678FF9hVDm1PdCzk6we
0.657,0.853,0,-8.36,1,0.118,0.183,0.00014,0.109,0.22,109.88,audio_features,spotify:track:1UugNeXATVn1iEfuWsEyDz
0.664,0.838,2,-6.202,1,0.0321,0.00691,0.748,0.0275,0.749,96.667,audio_features,spotify:track:1P4qbA8TUY7Nxu313n6Lz4
0.804,0.986,4,-7.704,0,0.0476,0.000184,0.89,0.0513,0.364,127.008,audio_features,spotify:track:7qds3ukybgmPQwtbKIKvgJ
0.808,0.987,6,-6.268,1,0.0417,0.00141,0.759,0.0649,0.522,125.987,audio_features,spotify:track:408MwnskWhBTY7CFYnqdXP
0.772,0.694,8,-6.685,0,0.0558,0.0333,0.91,0.037,0.5,116.012,audio_features,spotify:track:1w1Y3ZFmcB1JbNm5QJxws0
0.825,0.595,0,-9.393,1,0.0669,0.00107,0.94,0.0578,0.0781,124.003,audio_features,spotify:track:4cTIFTmacy3vyi5A5F3YeD
0.721,0.736,5,-6.643,0,0.0659,0.0629,0.807,0.0477,0.418,120.011,audio_features,spotify:track:5GxzwIut9sNiCTiQJfCLSR
0.732,0.769,2,-8.214,1,0.0428,0.0238,0.00503,0.259,0.679,128.007,audio_features,spotify:track:75tcofVJFPhehlfnEwqiuV
0.905,0.835,10,-4.355,0,0.175,0.194,0.0,0.0789,0.667,102.04,audio_features,spotify:track:4gc19xZ8SvONdW6ZVHlYSO
0.746,0.803,11,-8.883,0,0.0387,0.0235,0.877,0.0992,0.62,125.012,audio_features,spotify:track:7DzjqZH47oKP3o6Pj1sQrR
0.81,0.59,7,-9.865,1,0.0407,2.31e-05,0.597,0.0714,0.515,120.007,audio_features,spotify:track:1Txy239Azz9buzEQ9034kF
0.762,0.862,0,-3.595,0,0.0655,0.00202,0.56,0.0635,0.233,124.019,audio_features,spotify:track:7j65181rWNroAwZakfm1s4
0.796,0.948,7,-9.878,0,0.0631,0.00633,0.92,0.0664,0.419,119.988,audio_features,spotify:track:2tFz3AlZ1GUacsccZgo2Mt
0.804,0.902,10,-7.302,1,0.0472,0.0189,0.827,0.0682,0.756,122.001,audio_features,spotify:track:27gn9CFe0AphGFGLR8sSym
0.785,0.688,9,-7.348,0,0.0385,0.019,0.3,0.136,0.835,132.279,audio_features,spotify:track:4Xf27f2BIY6FmvifqxQ7RD
