danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri
0.684,0.697,6,-6.73,0,0.0334,0.0109,0.0908,0.0986,0.761,96.992,audio_features,spotify:track:6sbOGldEofWsQlq1GjdHJK
0.79,0.779,7,-9.58,1,0.0751,0.000637,0.908,0.105,0.0765,122.006,audio_features,spotify:track:0F4Q4Gkpy1rm4qC9oYteTe
0.795,0.598,7,-7.403,0,0.0656,0.0595,0.187,0.684,0.567,121.982,audio_features,spotify:track:6nfYXTZfmJMM56AfTV4mF4
0.802,0.971,2,-5.54,1,0.0524,3.73e-05,0.753,0.132,0.408,125.0,audio_features,spotify:track:2Tax5xK7RwwpnZOss6HmvD
0.804,0.78,4,-8.932,0,0.0627,0.178,0.846,0.0667,0.497,127.985,audio_features,spotify:track:4zaoon91ISbBglXsZL63XM
0.71,0.369,0,-13.636,1,0.0471,0.0105,0.786,0.071,0.742,129.994,audio_features,spotify:track:1PJDERZhH8grqTTQK5JDNj
0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,0.385,94.035,audio_features,spotify:track:0Psz3az3RIYfJpnsajBT8N
0.838,0.381,11,-16.867,0,0.0351,0.00912,0.0988,0.0364,0.95,117.708,audio_features,spotify:track:1mMYaXpT65iZDtvfRA9EkE
0.941,0.839,11,-6.457,1,0.125,0.0663,0.0115,0.242,0.763,125.437,audio_features,spotify:track:0OfWbtiZ3fHd64VmpCSj7g
0.845,0.881,9,-5.856,1,0.112,0.00814,5.1e-05,0.0631,0.709,119.998,audio_features,spotify:track:1x3fitHSJI4Zk6oRdRzqks
0.773,0.932,8,-4.895,1,0.031,0.0358,0.901,0.0597,0.391,122.993,audio_features,spotify:track:4DIspILFDWAlU7bViTMqhS
0.585,0.918,7,-7.735,0,0.0455,0.0351,0.0114,0.0994,0.89,127.804,audio_features,spotify:track:6Zo37jPR7DCOoCOtTaA15v
0.743,0.894,10,-6.268,0,0.102,0.00841,9.54e-06,0.0263,0.853,122.021,audio_features,spotify:track:6tlzpNj1gd9QH2ZbFzBgAI
0.736,0.957,10,-5.404,0,0.0459,0.0642,0.882,0.104,0.707,119.998,audio_features,spotify:track:5cJOyRToxH8fmAzsC8vwAa
0.709,0.923,11,-5.622,1,0.0392,0.0274,0.384,0.0539,0.857,114.99,audio_features,spotify:track:3xP4g4wokqBdvVtcRl0cwb
0.761,0.762,7,-7.368,0,0.0481,0.000122,0.274,0.0869,0.896,126.571,audio_features,spotify:track:5K0lYzIuk8CLhtnr49dgiV
0.812,0.507,1,-8.825,0,0.0452,0.0399,0.0831,0.0671,0.729,114.832,audio_features,spotify:track:4yrM5BVyJzy5Ed4GPO6e8j
0.731,0.75,2,-10.457,1,0.0321,0.0862,0.000388,0.202,0.639,135.406,audio_features,spotify:track:6fBwVe6udYdnRqwqo06if8
0.816,0.835,1,-8.571,0,0.064,0.25,0.00102,0.111,0.617,122.419,audio_features,spotify:track:3cTZ1gQaFYJYPr50pCVrG6
0.686,0.609,10,-11.469,0,0.0444,0.258,0.00015,0.113,0.719,127.736,audio_features,spotify:track:1QbQL5m30YNvukitIqAnFG
0.888,0.696,3,-6.597,0,0.0608,0.00469,0.296,0.0466,0.723,118.003,audio_features,spotify:track:34aM4AadnV3foQ1cadQYr9
0.786,0.712,11,-10.068,0,0.0518,0.00189,0.887,0.0631,0.373,116.022,audio_features,spotify:track:4gLd31OPb8QoLOQLPPkYOC
0.591,0.764,1,-5.481,1,0.111,0.189,0.000449,0.0502,0.546,104.983,audio_features,spotify:track:7xFyzXCq6GKv5hpbTGLY4S
0.662,0.938,5,-7.168,0,0.0359,0.00938,0.844,0.231,0.384,121.974,audio_features,spotify:track:1swbHpmgYa7c8e9bTiYFf0
0.797,0.567,2,-7.503,1,0.0651,0.0692,0.0,0.0705,0.843,108.024,audio_features,spotify:track:24n5tZm9XnaoNAkcW5NC5B
0.74,0.631,11,-4.865,1,0.196,0.0403,2.77e-06,0.253,0.887,109.029,audio_features,spotify:track:2Cu5ExXidcoE4vF5hIYict
0.884,0.549,1,-11.683,1,0.471,0.0342,0.0724,0.112,0.394,120.462,audio_features,spotify:track:5NjNYbL0eI1khtqmRRMd5W
0.805,0.931,8,-11.175,1,0.0673,0.00118,0.905,0.103,0.833,128.004,audio_features,spotify:track:3dbZAN8xmv0WuQjRbrvD1O
0.775,0.689,9,-4.94,1,0.054,0.00052,0.719,0.178,0.677,128.34,audio_features,spotify:track:63hz014fyEGlfFEVRwDbdt
0.807,0.537,5,-8.705,0,0.0715,0.00287,0.904,0.103,0.0707,125.99,audio_features,spotify:track:1JEQlx7USrp1Rg5mHggQSa
0.881,0.666,6,-5.724,1,0.0381,0.0725,0.0,0.0998,0.711,108.325,audio_features,spotify:track:2KjJhGtseXQBI5Cg6ZZdc9
0.806,0.835,8,-10.889,1,0.0906,5.65e-05,0.921,0.124,0.168,123.993,audio_features,spotify:track:2Mp52v1835bFXxsRZFkL35
0.818,0.45,6,-5.557,1,0.21,0.0463,0.0,0.0774,0.769,90.096,audio_features,spotify:track:366DLDHAnvMnHP5ECYt4N7
0.842,0.623,5,-8.802,0,0.0924,0.00189,0.524,0.323,0.688,120.014,audio_features,spotify:track:58IEi56ipBaZppE4UFAYQS
0.86,0.517,9,-8.168,0,0.0953,0.0075,0.00205,0.0331,0.589,115.021,audio_features,spotify:track:4vXMKlYcfXzA2MmhYMLJVr
0.912,0.781,7,-7.018,0,0.0444,0.074,0.762,0.348,0.89,119.978,audio_features,spotify:track:2pucDx5Wyz9uHCou4wntHa
0.652,0.896,2,-6.942,0,0.032,0.0436,0.00857,0.0876,0.596,120.007,audio_features,spotify:track:42WRH25mImQiHZiTCO3JmG
0.685,0.862,7,-4.51,1,0.042,0.0347,0.00125,0.165,0.708,120.057,audio_features,spotify:track:3QLquPNdrvnZeS5QVZMlHt
0.747,0.963,8,-5.437,0,0.166,0.0323,0.151,0.164,0.384,125.998,audio_features,spotify:track:54JJuXSiB5hAEaeERa9yEv
0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,0.465,92.887,audio_features,spotify:track:4htCObURda9CCsEwNh8DYt
0.807,0.942,11,-7.131,0,0.0633,0.000211,0.905,0.0666,0.814,123.984,audio_features,spotify:track:4CAhDx1gNMqX3eN8wmaWsV
0.718,0.54,7,-7.594,0,0.0457,0.0494,0.0279,0.0832,0.243,119.988,audio_features,spotify:track:7swKrYSJ4a4Pkahr94cQl2
0.694,0.87,7,-5.911,0,0.0361,0.139,8.87e-05,0.153,0.598,121.84,audio_features,spotify:track:5EGLIjC0H4iy9emRN4M9W6
0.698,0.933,1,-6.734,1,0.0345,0.00377,0.0715,0.115,0.36,122.977,audio_features,spotify:track:69gwVBrKn2N78sXs54Vqp0
0.826,0.64,3,-6.557,0,0.0544,0.0017,0.856,0.0273,0.762,122.003,audio_features,spotify:track:6OtWYitKPq5RJdmbjuRFCf
0.847,0.434,10,-12.466,0,0.275,0.76,8.89e-06,0.156,0.44,140.005,audio_features,spotify:track:3qIxnOusGoTpHvNVMLHscw
0.699,0.7,11,-5.704,1,0.0392,0.0109,0.0794,0.152,0.3,102.023,audio_features,spotify:track:1Cicn7ce1xoVlq8gthE2eX
0.803,0.614,7,-8.114,1,0.0643,0.00122,0.854,0.0698,0.777,122.006,audio_features,spotify:track:0oHXdQGs9ydb2dx4eeTso1
0.878,0.746,11,-4.281,1,0.0451,0.0476,0.0,0.154,0.792,111.996,audio_features,spotify:track:6pTg4H8juKV9iSzrcVUbM3
0.744,0.614,1,-3.908,0,0.0838,0.00685,0.334,0.0708,0.774,131.994,audio_features,spotify:track:2idmlkd8oUaQvYEtINpLBX
0.896,0.449,11,-8.998,0,0.0517,0.00554,0.0169,0.0857,0.698,118.025,audio_features,spotify:track:4xI3JHyhMVblf0vFY7sDLM
0.666,0.774,1,-5.715,1,0.246,0.0145,1.02e-05,0.0758,0.437,103.911,audio_features,spotify:track:62BKMNUacuQ6X67ID4Qcef
0.629,0.787,5,-8.399,0,0.0646,0.00152,0.359,0.209,0.581,125.998,audio_features,spotify:track:5RByQFt9Mlo8hDYJ921tCv
0.672,0.89,5,-9.558,1,0.0764,0.00523,0.949,0.142,0.921,115.032,audio_features,spotify:track:4rQKkOMEoCUtPLtxTWG4ky
0.868,0.545,2,-7.206,0,0.0313,0.0369,0.00655,0.0766,0.963,114.404,audio_features,spotify:track:3pfJpM4ZrTAoFVi0uSnybS
0.728,0.603,4,-6.681,0,0.0587,0.0286,0.00303,0.581,0.478,137.962,audio_features,spotify:track:0D6VCA9ycrkk9kH9F0p0AB
0.695,0.717,11,-1.454,0,0.395,0.359,0.0,0.277,0.61,75.888,audio_features,spotify:track:5XkeTGKcCkGF8l6fA9YpsS
0.884,0.505,1,-8.322,1,0.265,0.0257,0.0,0.307,0.582,148.042,audio_features,spotify:track:6eKWSrZfzd25TYYxkscWgg
0.793,0.596,0,-9.335,1,0.0456,0.00131,0.7,0.0319,0.622,119.999,audio_features,spotify:track:0saHJmDI3bQkZhslcaqafl
0.83,0.789,11,-6.042,0,0.0706,0.197,1.52e-06,0.491,0.815,124.024,audio_features,spotify:track:0UvrLjZWKKS6IlSxdmtAfL
0.528,0.735,5,-7.879,1,0.0309,0.00745,0.803,0.251,0.481,129.951,audio_features,spotify:track:2fDtGyTF0pdWS3ixHQUcN5
0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,audio_features,spotify:track:0oks4FnzhNp5QPTZtoet7c
0.61,0.426,0,-11.538,1,0.147,0.493,0.854,0.108,0.33,126.975,audio_features,spotify:track:2TbQOKDTGrg3ppGkO3gltX
0.587,0.905,6,-8.608,1,0.11,0.00973,0.000379,0.122,0.898,184.931,audio_features,spotify:track:49sMsFUxaaGDlaKZNBfVSd
0.576,0.779,1,-10.13,1,0.0389,0.605,0.936,0.111,0.108,125.509,audio_features,spotify:track:2AU0mrJS0U3RC62tvo4JvL
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz
0.795,0.409,9,-10.134,0,0.0859,0.183,0.00108,0.112,0.518,120.095,audio_features,spotify:track:3NWTRZ0A8xKlBP1qgNftql
0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,audio_features,spotify:track:3PFaFVWq5wucLu6s4baj9D
0.734,0.583,2,-11.866,1,0.129,0.125,0.0,0.0367,0.76,109.935,audio_features,spotify:track:3nFJbZCHP4d9vduKjJLdBL
0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,audio_features,spotify:track:5lA3pwMkBdd24StM90QrNR
0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,audio_features,spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9
0.818,0.768,9,-6.975,0,0.0482,0.289,4.73e-06,0.107,0.922,121.562,audio_features,spotify:track:0vXbQVd8pN6jz6LnOotMp6
0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,audio_features,spotify:track:3kxfsdsCpFgN412fpnW85Y
0.929,0.572,6,-6.928,0,0.0506,0.017,0.00353,0.122,0.288,128.014,audio_features,spotify:track:4gRAniZdYF2zVrDUsNC9tU
0.565,0.96,4,-3.503,0,0.0354,0.0441,0.00183,0.352,0.888,118.999,audio_features,spotify:track:6MHOg9xiYC2gj8zcASaLUo
0.724,0.874,1,-6.898,1,0.0426,0.000999,0.35,0.125,0.718,126.355,audio_features,spotify:track:1HkXY1LjFkAQF01DctB796
0.67,0.684,9,-6.053,0,0.401,0.311,0.000274,0.181,0.473,146.054,audio_features,spotify:track:5OzOQRssjhxaBj0xd78Z2w
0.759,0.909,0,-7.85,0,0.0373,0.302,0.842,0.0998,0.47,128.189,audio_features,spotify:track:0iALOYqXaVoluUIsSyDAny
0.867,0.714,1,-5.495,0,0.04,0.541,0.33,0.219,0.58,120.288,audio_features,spotify:track:1N7FGyCdyaIqzKidEKJTXq
0.842,0.525,1,-8.714,0,0.0713,0.000658,0.916,0.0264,0.571,119.994,audio_features,spotify:track:58IFNg4ttwvViDTuO11MDT
0.692,0.452,6,-8.18,1,0.116,0.0358,0.0,0.157,0.623,184.876,audio_features,spotify:track:3LH6EfPCeySeuymuK2gWAO
0.761,0.413,6,-16.138,1,0.0595,0.0107,0.479,0.0442,0.428,118.727,audio_features,spotify:track:1QlogZxaAT35c3HqjJt1JH
0.731,0.91,9,-4.559,0,0.0918,0.11,0.000447,0.313,0.886,120.991,audio_features,spotify:track:6HvUtPLqkP0t6zd6YNdWby
0.725,0.524,11,-11.121,1,0.116,0.0748,0.764,0.0819,0.961,185.134,audio_features,spotify:track:7ABE6G4uQxbNtYgVrpBBPA
0.641,0.812,0,-7.945,0,0.0293,0.155,4.43e-05,0.078,0.822,112.777,audio_features,spotify:track:1YwNlWLf8auhazSQUDQLFU
0.613,0.76,9,-7.499,0,0.0263,0.0159,0.194,0.0368,0.781,112.814,audio_features,spotify:track:4rP8quuCZkIWSh7J28nBKz
0.532,0.729,10,-6.84,1,0.0474,0.382,0.0,0.366,0.595,121.97,audio_features,spotify:track:0aAR5HogGoT68EWFbyRFqx
0.894,0.67,11,-9.406,0,0.0474,0.172,0.000363,0.0691,0.961,127.209,audio_features,spotify:track:1CgmY8fVN7kstVDZmsdM5k
0.677,0.609,4,-4.125,0,0.0277,0.0617,0.0909,0.0904,0.626,99.974,audio_features,spotify:track:0HDzKiHDrvXSdJNb7K4sy4
0.657,0.879,10,-7.649,0,0.0412,0.247,1.31e-05,0.197,0.722,117.987,audio_features,spotify:track:3gTT4d0ivhxG7mJWueY9p1
0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,audio_features,spotify:track:3jDdpx9PMlfMBS5tOBHFm9
0.788,0.755,1,-16.39,1,0.132,0.125,0.691,0.106,0.911,120.863,audio_features,spotify:track:7ePqi2suFQBlNSgxI3vULO
0.85,0.368,0,-13.284,1,0.11,0.0122,0.000162,0.07,0.858,115.396,audio_features,spotify:track:1sG8f5VaWI7ujoiamcNBvr
0.805,0.624,11,-6.882,0,0.111,0.185,0.000959,0.0572,0.945,114.94,audio_features,spotify:track:45rdPFLA9sLRuRzEl51xCp
0.858,0.554,6,-6.542,0,0.0363,0.118,0.0863,0.0398,0.965,113.683,audio_features,spotify:track:5GVJJGd6eoDlxidivHKe6O
0.801,0.66,1,-8.125,1,0.0492,0.051,0.0567,0.0479,0.884,109.944,audio_features,spotify:track:2a7tI5hc1y5ZEZ018NgB1g
0.768,0.731,9,-7.924,1,0.0575,0.0972,0.000345,0.645,0.816,121.015,audio_features,spotify:track:670OIIJOq13fVjNQNXRTTm
0.851,0.839,1,-7.036,1,0.0811,0.000995,0.89,0.155,0.507,124.956,audio_features,spotify:track:2cJA1qzW21gYqy1PcgKZuF
0.755,0.896,2,-9.251,0,0.0846,0.0723,2.53e-05,0.407,0.963,130.35,audio_features,spotify:track:7k6phfGndOSCfL4TZRtLft
0.782,0.515,0,-14.778,1,0.0697,0.000527,0.132,0.0558,0.123,120.016,audio_features,spotify:track:76PUN80GleAywbM2dPfm3x
0.656,0.939,9,-7.271,0,0.0392,0.0248,0.888,0.135,0.935,124.989,audio_features,spotify:track:4FcvC4g7DApeXAS1TiQQ8Y
0.794,0.963,1,-8.731,1,0.0667,0.000467,0.9,0.0397,0.291,123.986,audio_features,spotify:track:5fSWWvruXaT71De3pImX35
0.546,0.578,2,-8.745,1,0.0406,0.0114,6.54e-05,0.0692,0.819,128.037,audio_features,spotify:track:6HZ67VImxqr8aMBEEhblzf
0.561,0.828,11,-6.737,0,0.0417,0.000576,0.878,0.0813,0.75,137.017,audio_features,spotify:track:05oMU1d1NpzI2JgOUZgbc9
0.759,0.912,5,-6.792,1,0.0513,0.0326,0.71,0.0278,0.734,117.993,audio_features,spotify:track:5fWpiAAxEWZGU1XtNCMDpG
0.71,0.892,7,-9.022,1,0.0369,5.33e-05,0.396,0.0852,0.374,119.0,audio_features,spotify:track:4pQNjJDZ0zqYdSoqpxkzIR
0.704,0.796,11,-9.711,0,0.0506,0.000206,0.929,0.0296,0.84,124.006,audio_features,spotify:track:6aBqWnfEdFIolhzPwp1XuQ
0.599,0.976,1,-6.053,1,0.0376,7.52e-05,0.897,0.212,0.871,122.0,audio_features,spotify:track:2TY85U8jDMquWwjz4WqyEm
0.792,0.609,11,-8.478,0,0.135,0.0915,0.0886,0.238,0.685,124.014,audio_features,spotify:track:5RKWEhfFeV1Ly33ZFtIst0
0.76,0.929,10,-5.626,1,0.0527,0.00812,0.899,0.0571,0.774,126.985,audio_features,spotify:track:3iThvzWqPdZdgLnKDJGRaf
0.817,0.493,7,-9.006,1,0.151,0.0162,0.912,0.113,0.914,121.988,audio_features,spotify:track:6h5Nx3Ky3kC3ucxcKeoH42
0.803,0.691,6,-6.84,1,0.0637,0.00684,0.874,0.0663,0.891,117.979,audio_features,spotify:track:3vg0LaCjeLUQEffpDhXqMX
0.603,0.839,5,-8.0,0,0.0524,0.000199,0.913,0.0483,0.965,121.994,audio_features,spotify:track:1Wc83tGRNW59knQUV26bFp
0.724,0.617,7,-8.362,1,0.0693,0.014,0.905,0.0839,0.481,119.999,audio_features,spotify:track:58wcmWuNq5YZHVMNSFS0OB
0.6,0.78,8,-6.641,0,0.0386,0.199,0.0953,0.111,0.728,122.956,audio_features,spotify:track:1T8DhSO31RKXplrFySKAAy
0.626,0.89,5,-5.906,0,0.0353,0.000249,0.792,0.328,0.488,123.985,audio_features,spotify:track:3iqNIClWP8hUpjjOaOIsbA
0.781,0.386,10,-9.974,0,0.0827,0.00998,0.567,0.166,0.828,105.812,audio_features,spotify:track:1MheNNJZYdcOTKwZyM8alC
0.805,0.779,6,-6.217,1,0.0382,0.00181,0.838,0.0831,0.566,125.012,audio_features,spotify:track:7HlvFIJDmcQRRn45aRd46t
0.638,0.988,1,-5.042,1,0.0921,0.0302,1.16e-05,0.371,0.723,117.955,audio_features,spotify:track:3YVPpVJvJG2EauXurPA90F
0.605,0.602,0,-6.837,0,0.398,0.177,0.0,0.405,0.829,82.261,audio_features,spotify:track:2fxef3Rm1GnrcyGjvWP8oJ
